familie,instanz,verfahren,seed,n_in,m_in,delta_in,n,m,delta_eff,augmentiert,bump,sonderfall_vn,k,k_papier,steigungen,steigungen_schranke,steigungen_strikt,breite,breite_schranke,hoehe,hoehe_schranke,teile,verifiziert,zeit_ms,strategie
prisma,prisma n=8,thm4,-1,8,12,3,8,12,4,0,0,0,,,2,2,2,5,16,231,265,,1,0.118,
prisma,prisma n=8,thm1,-1,8,12,3,8,12,5,0,0,0,1280,1280,5,7,7,24,3840,3852,46080,5,1,0.472,
antiprisma,antiprisma n=8,thm4,-1,8,16,4,8,16,6,0,1,0,,,3,3,3,10,24,516,561,,1,0.110,
antiprisma,antiprisma n=8,thm1,-1,8,16,4,8,16,5,0,0,0,1280,1280,7,7,7,20,3840,5130,46080,6,1,0.583,
prisma,prisma n=16,thm4,-1,16,24,3,16,24,4,0,0,0,,,2,2,2,9,32,975,1041,,1,0.160,
prisma,prisma n=16,thm1,-1,16,24,3,16,24,5,0,0,0,5120,5120,5,7,7,80,15360,35880,368640,9,1,2.306,
antiprisma,antiprisma n=16,thm4,-1,16,32,4,16,32,6,0,1,0,,,3,3,3,18,48,2180,2273,,1,0.198,
antiprisma,antiprisma n=16,thm1,-1,16,32,4,16,32,5,0,0,0,5120,5120,7,7,7,72,15360,40996,368640,10,1,2.468,
prisma,prisma n=32,thm4,-1,32,48,3,32,48,4,0,0,0,,,2,2,2,17,64,3999,4129,,1,0.293,
prisma,prisma n=32,thm1,-1,32,48,3,32,48,5,0,0,0,20480,20480,5,7,7,288,61440,307344,2949120,17,1,13.608,
antiprisma,antiprisma n=32,thm4,-1,32,64,4,32,64,6,0,1,0,,,3,3,3,34,96,8964,9153,,1,0.427,
antiprisma,antiprisma n=32,thm1,-1,32,64,4,32,64,5,0,0,0,20480,20480,7,7,7,272,61440,327816,2949120,18,1,14.258,
prisma,prisma n=64,thm4,-1,64,96,3,64,96,4,0,0,0,,,2,2,2,33,128,16191,16449,,1,0.605,
prisma,prisma n=64,thm1,-1,64,96,3,64,96,5,0,0,0,81920,81920,5,7,7,1088,245760,2540064,23592960,33,1,89.636,
antiprisma,antiprisma n=64,thm4,-1,64,128,4,64,128,6,0,1,0,,,3,3,3,66,192,36356,36737,,1,0.988,
antiprisma,antiprisma n=64,thm1,-1,64,128,4,64,128,5,0,0,0,81920,81920,7,7,7,1056,245760,2621968,23592960,34,1,100.390,
prisma,prisma n=128,thm4,-1,128,192,3,128,192,4,0,0,0,,,2,2,2,65,256,65151,65665,,1,1.463,
prisma,prisma n=128,thm1,-1,128,192,3,128,192,5,0,0,0,327680,327680,5,7,7,4224,983040,20645952,188743680,65,1,682.094,
antiprisma,antiprisma n=128,thm4,-1,128,256,4,128,256,6,0,1,0,,,3,3,3,130,384,146436,147201,,1,2.997,
antiprisma,antiprisma n=128,thm1,-1,128,256,4,128,256,5,0,0,0,327680,327680,7,7,7,4160,983040,20973600,188743680,66,1,825.797,
prisma,prisma n=256,thm4,-1,256,384,3,256,384,4,0,0,0,,,2,2,2,129,512,261375,262401,,1,4.571,
prisma,prisma n=256,thm1,-1,256,384,3,256,384,5,0,0,0,1310720,1310720,5,7,7,16640,3932160,166469760,1509949440,129,1,5271.250,
antiprisma,antiprisma n=256,thm4,-1,256,512,4,256,512,6,0,1,0,,,3,3,3,258,768,587780,589313,,1,9.669,
antiprisma,antiprisma n=256,thm1,-1,256,512,4,256,512,5,0,0,0,1310720,1310720,7,7,7,16512,3932160,167780416,1509949440,130,1,6190.789,
prisma,prisma n=512,thm4,-1,512,768,3,512,768,4,0,0,0,,,2,2,2,257,1024,1047039,1049089,,1,13.361,
antiprisma,antiprisma n=512,thm4,-1,512,1024,4,512,1024,6,0,1,0,,,3,3,3,514,1536,2355204,2358273,,1,35.767,
prisma,prisma n=1024,thm4,-1,1024,1536,3,1024,1536,4,0,0,0,,,2,2,2,513,2048,4191231,4195329,,1,47.744,
antiprisma,antiprisma n=1024,thm4,-1,1024,2048,4,1024,2048,6,0,1,0,,,3,3,3,1026,3072,9428996,9435137,,1,130.138,
rad,rad m=4,thm4,-1,5,8,4,5,8,4,0,0,0,,,2,2,2,4,11,92,116,,1,0.074,
rad,rad m=4,thm1,-1,5,8,4,5,8,5,0,0,0,500,500,6,7,7,12,2160,1006,19440,4,1,0.181,
doppelrad,doppelrad m=4,thm4,-1,6,12,4,6,12,6,0,1,0,,,3,3,3,9,18,281,313,,1,0.072,
doppelrad,doppelrad m=4,thm1,-1,6,12,4,6,12,5,0,0,0,720,720,7,7,7,14,2160,2167,19440,5,1,0.258,
rad,rad m=6,thm4,-1,7,12,6,7,12,6,0,0,0,,,3,3,3,10,17,312,348,,1,0.071,
rad,rad m=6,thm1,-1,7,12,6,7,12,6,0,0,0,1176,1176,7,10,10,30,3528,4714,37044,6,1,0.399,
doppelrad,doppelrad m=6,thm4,-1,8,18,6,8,18,6,0,0,0,,,3,3,3,12,28,601,653,,1,0.106,
doppelrad,doppelrad m=6,thm1,-1,8,18,6,8,18,6,0,0,0,1536,1536,9,10,10,24,4608,7688,55296,7,1,0.516,
rad,rad m=8,thm4,-1,9,16,8,9,16,8,0,0,0,,,4,4,4,15,23,756,838,,1,0.099,
rad,rad m=8,thm1,-1,9,16,8,9,16,8,0,0,0,2592,2592,9,16,16,70,7776,15566,104976,8,1,0.743,
doppelrad,doppelrad m=8,thm4,-1,10,24,8,10,24,8,0,0,0,,,4,4,4,21,38,1395,1531,,1,0.181,
doppelrad,doppelrad m=8,thm1,-1,10,24,8,10,24,8,0,0,0,3200,3200,13,16,16,55,9600,22411,144000,9,1,0.878,
rad,rad m=10,thm4,-1,11,20,10,11,20,10,0,0,0,,,5,5,5,19,29,1475,1578,,1,0.133,
rad,rad m=10,thm1,-1,11,20,10,11,20,10,0,0,0,4840,4840,11,22,22,126,14520,38738,239580,10,1,1.100,
doppelrad,doppelrad m=10,thm4,-1,12,30,10,12,30,10,0,0,0,,,5,5,5,28,48,2675,2845,,1,0.178,
doppelrad,doppelrad m=10,thm1,-1,12,30,10,12,30,10,0,0,0,5760,5760,17,22,22,98,17280,51854,311040,11,1,1.349,
rad,rad m=12,thm4,-1,13,24,12,13,24,12,0,0,0,,,6,6,6,23,35,2568,2744,,1,0.157,
rad,rad m=12,thm1,-1,13,24,12,13,24,12,0,0,0,8112,8112,13,28,28,198,24336,81142,474552,12,1,2.001,
doppelrad,doppelrad m=12,thm4,-1,14,36,12,14,36,12,0,0,0,,,6,6,6,34,58,4595,4887,,1,0.227,
doppelrad,doppelrad m=12,thm1,-1,14,36,12,14,36,12,0,0,0,9408,9408,21,28,28,153,28224,103505,592704,13,1,1.981,
rad,rad m=14,thm4,-1,15,28,14,15,28,14,0,0,0,,,7,7,7,27,41,4074,4280,,1,0.166,
rad,rad m=14,thm1,-1,15,28,14,15,28,14,0,0,0,12600,12600,15,34,34,286,37800,151226,850500,14,1,2.474,
doppelrad,doppelrad m=14,thm4,-1,16,42,14,16,42,14,0,0,0,,,7,7,7,40,68,7223,7565,,1,0.277,
doppelrad,doppelrad m=14,thm1,-1,16,42,14,16,42,14,0,0,0,14336,14336,25,34,34,220,43008,186388,1032192,15,1,2.712,
rad,rad m=16,thm4,-1,17,32,16,17,32,16,0,0,0,,,8,8,8,31,47,6104,6410,,1,0.192,
rad,rad m=16,thm1,-1,17,32,16,17,32,16,0,0,0,18496,18496,17,40,40,390,55488,258974,1414944,16,1,3.695,
doppelrad,doppelrad m=16,thm4,-1,18,48,16,18,48,16,0,0,0,,,8,8,8,46,78,10742,11251,,1,0.323,
doppelrad,doppelrad m=16,thm1,-1,18,48,16,18,48,16,0,0,0,20736,20736,29,40,40,299,62208,311063,1679616,17,1,3.765,
rad,rad m=18,thm4,-1,19,36,18,19,36,18,0,0,0,,,9,9,9,35,53,8685,9030,,1,0.343,
rad,rad m=18,thm1,-1,19,36,18,19,36,18,0,0,0,25992,25992,19,46,46,510,77976,415906,2222316,18,1,4.312,
doppelrad,doppelrad m=18,thm4,-1,20,54,18,20,54,18,0,0,0,,,9,9,9,52,88,15199,15773,,1,0.564,
doppelrad,doppelrad m=18,thm1,-1,20,54,18,20,54,18,0,0,0,28800,28800,33,46,46,390,86400,489626,2592000,19,1,4.927,
rad,rad m=20,thm4,-1,21,40,20,21,40,20,0,0,0,,,10,10,10,39,59,11940,12412,,1,0.275,
rad,rad m=20,thm1,-1,21,40,20,21,40,20,0,0,0,35280,35280,21,52,52,646,105840,635078,3333960,20,1,5.743,
doppelrad,doppelrad m=20,thm4,-1,22,60,20,22,60,20,0,0,0,,,10,10,10,58,98,20797,21583,,1,0.702,
doppelrad,doppelrad m=20,thm1,-1,22,60,20,22,60,20,0,0,0,38720,38720,37,52,52,493,116160,735709,3833280,21,1,6.421,
rad,rad m=22,thm4,-1,23,44,22,23,44,22,0,0,0,,,11,11,11,43,65,15884,16404,,1,0.299,
rad,rad m=22,thm1,-1,23,44,22,23,44,22,0,0,0,46552,46552,23,58,58,798,139656,931082,4818132,22,1,7.410,
doppelrad,doppelrad m=22,thm4,-1,24,66,22,24,66,22,0,0,0,,,11,11,11,64,108,27563,28429,,1,0.504,
doppelrad,doppelrad m=22,thm1,-1,24,66,22,24,66,22,0,0,0,50688,50688,41,58,58,608,152064,1064480,5474304,23,1,8.228,
rad,rad m=24,thm4,-1,25,48,24,25,48,24,0,0,0,,,12,12,12,47,71,20652,21326,,1,0.327,
rad,rad m=24,thm1,-1,25,48,24,25,48,24,0,0,0,60000,60000,25,64,64,966,180000,1320046,6750000,24,1,8.996,
doppelrad,doppelrad m=24,thm4,-1,26,72,24,26,72,24,0,0,0,,,12,12,12,70,118,35720,36843,,1,0.545,
doppelrad,doppelrad m=24,thm1,-1,26,72,24,26,72,24,0,0,0,64896,64896,45,64,64,735,194688,1492643,7592832,25,1,10.222,
rad,rad m=26,thm4,-1,27,52,26,27,52,26,0,0,0,,,13,13,13,51,77,26247,26978,,1,0.378,
rad,rad m=26,thm1,-1,27,52,26,27,52,26,0,0,0,75816,75816,27,70,70,1150,227448,1819634,9211644,26,1,11.383,
doppelrad,doppelrad m=26,thm4,-1,28,78,26,28,78,26,0,0,0,,,13,13,13,76,128,45275,46493,,1,0.617,
doppelrad,doppelrad m=26,thm1,-1,28,78,26,28,78,26,0,0,0,81536,81536,49,70,70,874,244608,2038438,10273536,27,1,12.297,
rad,rad m=28,thm4,-1,29,56,28,29,56,28,0,0,0,,,14,14,14,55,83,32816,33728,,1,0.412,
rad,rad m=28,thm1,-1,29,56,28,29,56,28,0,0,0,94192,94192,29,76,76,1350,282576,2449046,12292056,28,1,13.490,
doppelrad,doppelrad m=28,thm4,-1,30,84,28,30,84,28,0,0,0,,,14,14,14,82,138,56471,57991,,1,0.742,
doppelrad,doppelrad m=28,thm1,-1,30,84,28,30,84,28,0,0,0,100800,100800,53,76,76,1025,302400,2721641,13608000,29,1,14.490,
rad,rad m=30,thm4,-1,31,60,30,31,60,30,0,0,0,,,15,15,15,59,89,40350,41328,,1,0.440,
rad,rad m=30,thm1,-1,31,60,30,31,60,30,0,0,0,115320,115320,31,82,82,1566,345960,3229018,16087140,30,1,15.984,
doppelrad,doppelrad m=30,thm4,-1,32,90,30,32,90,30,0,0,0,,,15,15,15,88,148,69295,70925,,1,0.766,
doppelrad,doppelrad m=30,thm1,-1,32,90,30,32,90,30,0,0,0,122880,122880,57,82,82,1188,368640,3563564,17694720,31,1,17.322,
rad,rad m=32,thm4,-1,33,64,32,33,64,32,0,0,0,,,16,16,16,63,95,49008,50194,,1,0.475,
rad,rad m=32,thm1,-1,33,64,32,33,64,32,0,0,0,139392,139392,33,88,88,1798,418176,4181822,20699712,32,1,19.016,
doppelrad,doppelrad m=32,thm4,-1,34,96,32,34,96,32,0,0,0,,,16,16,16,94,158,84010,85987,,1,0.832,
doppelrad,doppelrad m=32,thm1,-1,34,96,32,34,96,32,0,0,0,147968,147968,61,88,88,1363,443904,4587055,22639104,33,1,20.177,
rad,rad m=34,thm4,-1,35,68,34,35,68,34,0,0,0,,,17,17,17,67,101,58769,60030,,1,0.532,
rad,rad m=34,thm1,-1,35,68,34,35,68,34,0,0,0,166600,166600,35,94,94,2046,499800,5331266,26239500,34,1,22.551,
doppelrad,doppelrad m=34,thm4,-1,36,102,34,36,102,34,0,0,0,,,17,17,17,100,168,100583,102685,,1,0.908,
doppelrad,doppelrad m=34,thm1,-1,36,102,34,36,102,34,0,0,0,176256,176256,65,94,94,1550,528768,5816498,28553472,35,1,23.861,
rad,rad m=36,thm4,-1,37,72,36,37,72,36,0,0,0,,,18,18,18,71,107,69804,71300,,1,0.578,
rad,rad m=36,thm1,-1,37,72,36,37,72,36,0,0,0,197136,197136,37,100,100,2310,591408,6702694,32823144,36,1,26.248,
doppelrad,doppelrad m=36,thm4,-1,38,108,36,38,108,36,0,0,0,,,18,18,18,106,178,119297,121791,,1,0.993,
doppelrad,doppelrad m=36,thm1,-1,38,108,36,38,108,36,0,0,0,207936,207936,69,100,100,1749,623808,7277813,35557056,37,1,27.735,
rad,rad m=38,thm4,-1,39,76,38,39,76,38,0,0,0,,,19,19,19,75,113,82080,83660,,1,0.619,
rad,rad m=38,thm1,-1,39,76,38,39,76,38,0,0,0,231192,231192,39,106,106,2590,693576,8322986,40574196,38,1,30.346,
doppelrad,doppelrad m=38,thm4,-1,40,114,38,40,114,38,0,0,0,,,19,19,19,112,188,140099,142733,,1,1.070,
doppelrad,doppelrad m=38,thm1,-1,40,114,38,40,114,38,0,0,0,243200,243200,73,106,106,1960,729600,8998456,43776000,39,1,32.170,
rad,rad m=40,thm4,-1,41,80,40,41,80,40,0,0,0,,,20,20,20,79,119,95780,97622,,1,0.667,
rad,rad m=40,thm1,-1,41,80,40,41,80,40,0,0,0,268960,268960,41,112,112,2886,806880,10220558,49623120,40,1,35.036,
doppelrad,doppelrad m=40,thm4,-1,42,120,40,42,120,40,0,0,0,,,20,20,20,118,198,163292,166363,,1,1.155,
doppelrad,doppelrad m=40,thm1,-1,42,120,40,42,120,40,0,0,0,282240,282240,77,112,112,2183,846720,11007419,53343360,41,1,36.841,
rad,rad m=42,thm4,-1,43,84,42,43,84,42,0,0,0,,,21,21,21,83,125,110859,112794,,1,0.713,
rad,rad m=42,thm1,-1,43,84,42,43,84,42,0,0,0,310632,310632,43,118,118,3198,931896,12425362,60107292,42,1,41.302,
doppelrad,doppelrad m=42,thm4,-1,44,126,42,44,126,42,0,0,0,,,21,21,21,124,208,188803,192029,,1,1.311,
doppelrad,doppelrad m=42,thm1,-1,44,126,42,44,126,42,0,0,0,325248,325248,81,118,118,2418,975744,13335230,64399104,43,1,45.104,
rad,rad m=44,thm4,-1,45,88,44,45,88,44,0,0,0,,,22,22,22,87,131,127512,129736,,1,0.829,
rad,rad m=44,thm1,-1,45,88,44,45,88,44,0,0,0,356400,356400,45,124,124,3526,1069200,14968886,72171000,44,1,49.535,
doppelrad,doppelrad m=44,thm4,-1,46,132,44,46,132,44,0,0,0,,,22,22,22,130,218,216955,220663,,1,1.473,
doppelrad,doppelrad m=44,thm1,-1,46,132,44,46,132,44,0,0,0,372416,372416,85,124,124,2665,1117248,16013953,77090112,45,1,50.839,
rad,rad m=46,thm4,-1,47,92,46,47,92,46,0,0,0,,,23,23,23,91,137,145682,148008,,1,0.823,
rad,rad m=46,thm1,-1,47,92,46,47,92,46,0,0,0,406456,406456,47,130,130,3870,1219368,17884154,85965444,46,1,52.478,
doppelrad,doppelrad m=46,thm4,-1,48,138,46,48,138,46,0,0,0,,,23,23,23,136,228,247655,251533,,1,1.491,
doppelrad,doppelrad m=46,thm1,-1,48,138,46,48,138,46,0,0,0,423936,423936,89,130,130,2924,1271808,19077188,91570176,47,1,53.819,
rad,rad m=48,thm4,-1,49,96,48,49,96,48,0,0,0,,,24,24,24,95,143,165576,168218,,1,0.873,
rad,rad m=48,thm1,-1,49,96,48,49,96,48,0,0,0,460992,460992,49,136,136,4230,1382976,21205726,101648736,48,1,57.980,
doppelrad,doppelrad m=48,thm4,-1,50,144,48,50,144,48,0,0,0,,,24,24,24,142,238,281246,285651,,1,1.567,
doppelrad,doppelrad m=48,thm1,-1,50,144,48,50,144,48,0,0,0,480000,480000,93,136,136,3195,1440000,22560071,108000000,49,1,60.344,
rad,rad m=50,thm4,-1,51,100,50,51,100,50,0,0,0,,,25,25,25,99,149,187125,189878,,1,0.937,
rad,rad m=50,thm1,-1,51,100,50,51,100,50,0,0,0,520200,520200,51,142,142,4606,1560600,24969698,119385900,50,1,66.362,
doppelrad,doppelrad m=50,thm4,-1,52,150,50,52,150,50,0,0,0,,,25,25,25,148,248,317615,322205,,1,2.102,
doppelrad,doppelrad m=50,thm1,-1,52,150,50,52,150,50,0,0,0,540800,540800,97,142,142,3478,1622400,26499274,126547200,51,1,72.463,
rad,rad m=52,thm4,-1,53,104,52,53,104,52,0,0,0,,,26,26,26,103,155,210548,213644,,1,1.047,
rad,rad m=52,thm1,-1,53,104,52,53,104,52,0,0,0,584272,584272,53,148,148,4998,1752816,29213702,139348872,52,1,78.360,
doppelrad,doppelrad m=52,thm4,-1,54,156,52,54,156,52,0,0,0,,,26,26,26,154,258,357125,362287,,1,1.913,
doppelrad,doppelrad m=52,thm1,-1,54,156,52,54,156,52,0,0,0,606528,606528,101,148,148,3773,1819584,30933005,147386304,53,1,76.343,
rad,rad m=54,thm4,-1,55,108,54,55,108,54,0,0,0,,,27,27,27,107,161,235764,238980,,1,1.027,
rad,rad m=54,thm1,-1,55,108,54,55,108,54,0,0,0,653400,653400,55,154,154,5406,1960200,33976906,161716500,54,1,83.689,
doppelrad,doppelrad m=54,thm4,-1,56,162,54,56,162,54,0,0,0,,,27,27,27,160,268,399643,405005,,1,2.034,
doppelrad,doppelrad m=54,thm1,-1,56,162,54,56,162,54,0,0,0,677376,677376,105,154,154,4080,2032128,35901008,170698752,55,1,86.937,
rad,rad m=56,thm4,-1,57,112,56,57,112,56,0,0,0,,,28,28,28,111,167,263004,266590,,1,1.099,
rad,rad m=56,thm1,-1,57,112,56,57,112,56,0,0,0,727776,727776,57,160,160,5830,2183328,39300014,186674544,56,1,89.622,
doppelrad,doppelrad m=56,thm4,-1,58,168,56,58,168,56,0,0,0,,,28,28,28,166,278,445552,451531,,1,2.340,
doppelrad,doppelrad m=56,thm1,-1,58,168,56,58,168,56,0,0,0,753536,753536,109,160,160,4399,2260608,41444563,196672896,57,1,94.157,
rad,rad m=58,thm4,-1,59,116,58,59,116,58,0,0,0,,,29,29,29,115,173,292175,295890,,1,1.199,
rad,rad m=58,thm1,-1,59,116,58,59,116,58,0,0,0,807592,807592,59,166,166,6270,2422776,45225266,214415676,58,1,106.942,
doppelrad,doppelrad m=58,thm4,-1,60,174,58,60,174,58,0,0,0,,,29,29,29,172,288,494699,500893,,1,2.269,
doppelrad,doppelrad m=58,thm1,-1,60,174,58,60,174,58,0,0,0,835200,835200,113,166,166,4730,2505600,47606486,225504000,59,1,108.019,
rad,rad m=60,thm4,-1,61,120,60,61,120,60,0,0,0,,,30,30,30,119,179,323520,327632,,1,1.243,
rad,rad m=60,thm1,-1,61,120,60,61,120,60,0,0,0,893040,893040,61,172,172,6726,2679120,51796438,245139480,60,1,111.271,
doppelrad,doppelrad m=60,thm4,-1,62,180,60,62,180,60,0,0,0,,,30,30,30,178,298,547487,554343,,1,2.237,
doppelrad,doppelrad m=60,thm1,-1,62,180,60,62,180,60,0,0,0,922560,922560,117,172,172,5073,2767680,54431129,257394240,61,1,111.827,
rad,rad m=62,thm4,-1,63,124,62,63,124,62,0,0,0,,,31,31,31,123,185,356934,361184,,1,1.274,
rad,rad m=62,thm1,-1,63,124,62,63,124,62,0,0,0,984312,984312,63,178,178,7198,2952936,59058842,279052452,62,1,118.484,
doppelrad,doppelrad m=62,thm4,-1,64,186,62,64,186,62,0,0,0,,,31,31,31,184,308,603743,610829,,1,2.411,
doppelrad,doppelrad m=62,thm1,-1,64,186,62,64,186,62,0,0,0,1015808,1015808,121,178,178,5428,3047424,61964380,292552704,63,1,121.975,
rad,rad m=64,thm4,-1,65,128,64,65,128,64,0,0,0,,,32,32,32,127,191,392672,397346,,1,1.358,
rad,rad m=64,thm1,-1,65,128,64,65,128,64,0,0,0,1081600,1081600,65,184,184,7686,3244800,67059326,316368000,64,1,129.772,
doppelrad,doppelrad m=64,thm4,-1,66,192,64,66,192,64,0,0,0,,,32,32,32,190,318,663890,671683,,1,2.745,
doppelrad,doppelrad m=64,thm1,-1,66,192,64,66,192,64,0,0,0,1115136,1115136,125,184,184,5795,3345408,70253663,331195392,65,1,133.634,
maximal_planar,maximal_planar n=8 s=1000,thm4,1000,8,18,7,8,18,8,0,0,0,,,4,4,4,15,28,805,905,,1,0.247,
maximal_planar,maximal_planar n=8 s=1000,thm1,1000,8,18,7,8,18,7,0,0,0,1792,1792,12,13,13,56,5376,8974,64512,7,1,0.566,
maximal_planar,maximal_planar n=8 s=1001,thm4,1001,8,18,7,8,18,8,0,0,0,,,4,4,4,15,28,796,905,,1,0.109,
maximal_planar,maximal_planar n=8 s=1001,thm1,1001,8,18,7,8,18,7,0,0,0,1792,1792,11,13,13,24,5376,8966,64512,7,1,0.460,
