delta ohne ohne_min ohne_max mit mit_min mit_max s_satz s_korollar
2 nan nan nan 2 2 2 2 2
3 2 2 2 2 2 2 2 3
4 2 2 2 3 2 3 2 3
5 3 3 3 nan nan nan 3 4
6 3 3 3 3 3 4 3 4
7 4 4 4 4 4 4 4 5
8 4 4 4 4 4 4 4 5
9 5 5 5 5 5 5 5 6
10 5 5 5 5 5 5 5 6
11 6 6 6 6 6 6 6 7
12 6 6 6 6 6 6 6 7
13 7 7 7 7 7 7 7 8
14 7 7 7 7 7 7 7 8
15 8 8 8 8 8 8 8 9
16 8 8 8 8 8 8 8 9
17 9 9 9 9 9 9 9 10
18 9 9 9 9 9 9 9 10
19 10 10 10 10 10 10 10 11
20 10 10 10 10 10 10 10 11
21 nan nan nan 11 11 11 11 12
22 11 11 11 11 11 11 11 12
23 12 12 12 12 12 12 12 13
24 12 12 12 12 12 12 12 13
25 13 13 13 13 13 13 13 14
26 13 13 13 13 13 13 13 14
27 14 14 14 14 14 14 14 15
28 14 14 14 14 14 14 14 15
29 15 15 15 nan nan nan 15 16
30 15 15 15 nan nan nan 15 16
32 16 16 16 16 16 16 16 17
33 17 17 17 nan nan nan 17 18
34 17 17 17 nan nan nan 17 18
35 18 18 18 nan nan nan 18 19
36 18 18 18 18 18 18 18 19
37 19 19 19 nan nan nan 19 20
38 19 19 19 nan nan nan 19 20
39 20 20 20 nan nan nan 20 21
40 20 20 20 20 20 20 20 21
41 21 21 21 nan nan nan 21 22
42 21 21 21 nan nan nan 21 22
43 22 22 22 nan nan nan 22 23
44 22 22 22 nan nan nan 22 23
46 23 23 23 nan nan nan 23 24
48 24 24 24 nan nan nan 24 25
50 25 25 25 nan nan nan 25 26
52 26 26 26 nan nan nan 26 27
54 27 27 27 nan nan nan 27 28
55 28 28 28 nan nan nan 28 29
56 28 28 28 nan nan nan 28 29
57 29 29 29 nan nan nan 29 30
58 29 29 29 nan nan nan 29 30
60 30 30 30 nan nan nan 30 31
61 31 31 31 nan nan nan 31 32
62 31 31 31 nan nan nan 31 32
64 32 32 32 nan nan nan 32 33
66 33 33 33 nan nan nan 33 34
68 34 34 34 nan nan nan 34 35
69 35 35 35 nan nan nan 35 36
77 39 39 39 nan nan nan 39 40
79 40 40 40 nan nan nan 40 41
83 42 42 42 nan nan nan 42 43
95 48 48 48 nan nan nan 48 49
110 55 55 55 nan nan nan 55 56
